"run","baseline_total_loss","cull_total_loss","direct_cull_loss","net_loss_avoided","baseline_farms_affected","cull_farms_affected","baseline_farms_lost","cull_farms_lost","farms_culled"
172,113673.834011589,106283.615588871,84483.1917960783,7390.21842271769,113,105,113,105,84
173,33188.9091340829,2654.6568247945,2654.6568247945,30534.2523092884,34,3,34,3,3
174,113673.834011589,3171.53499923517,3171.53499923517,110502.299012354,113,3,113,3,3
175,136561.622378543,2937.65478695023,2937.65478695023,133623.967591593,136,3,136,3,3
176,146862.743145672,9938.03317515178,6408.66377224656,136924.70997052,147,11,147,11,7
177,146862.743145672,2734.89871932016,2734.89871932016,144127.844426352,147,3,147,3,3
178,113673.834011589,2818.24240214269,2818.24240214269,110855.591609446,113,3,113,3,3
179,113673.834011589,3263.17967988537,3263.17967988537,110410.654331703,113,3,113,3,3
180,113673.834011589,92146.3003953836,73295.1853228063,21527.5336162052,113,91,113,91,72
181,123974.954778717,9543.63939294639,6640.52509564325,114431.315385771,124,10,124,10,7
182,113673.834011589,101107.377487718,78225.3658854702,12566.4565238704,113,100,113,100,78
183,113673.834011589,98175.0375428937,84236.3021147135,15498.7964686952,113,97,113,97,83
184,149846.797457096,24345.7465436303,23461.2996769528,125501.050913465,150,24,150,24,23
185,123974.954778717,8981.13540960008,6690.89843025728,114993.819369117,124,9,124,9,7
186,138497.058711946,80383.313755452,63711.8932437503,58113.7449564936,138,79,138,79,63
187,142983.809247392,108685.286934665,81396.0684943193,34298.5223127275,146,108,143,108,82
188,113673.834011589,89841.3219261773,69448.3649353273,23832.5120854116,113,89,113,89,70
189,136561.622378543,24873.12590734,17047.3044208258,111688.496471203,136,25,136,25,17
190,136561.622378543,3017.84831119649,3017.84831119649,133543.774067347,136,3,136,3,3
191,119656.718912744,8181.63022428008,7283.21699793237,111475.088688464,119,8,119,8,7
192,136561.622378543,2844.18246464043,2844.18246464043,133717.439913903,136,3,136,3,3
193,146862.743145672,24905.6149806939,19072.1222353591,121957.128164978,147,25,147,25,19
194,139545.676689967,3128.3714127217,3128.3714127217,136417.305277245,139,3,139,3,3
195,139545.676689967,3108.55685154156,3108.55685154156,136437.119838426,139,3,139,3,3
196,126959.009090141,4710.43652485104,2819.26695044876,122248.57256529,127,5,127,5,3
197,139545.676689967,2946.13781479436,2946.13781479436,136599.538875173,139,3,139,3,3
198,139545.676689967,24617.7875994686,20683.0754765194,114927.889090499,139,25,139,25,21
199,113673.834011589,90206.7997725021,74745.063368576,23467.0342390867,113,89,113,89,74
200,139545.676689967,2901.57872760825,2901.57872760825,136644.097962359,139,3,139,3,3
201,139545.676689967,3321.13095222639,3321.13095222639,136224.545737741,139,3,139,3,3
202,149846.797457096,26228.3181092721,17360.920901723,123618.479347824,150,26,150,26,17
203,113673.834011589,105861.938675537,83320.552891215,7811.89533605136,113,107,113,105,83
204,113673.834011589,82802.4533748312,68848.9549017309,30871.3806367576,113,82,113,82,68
205,113673.834011589,3112.61713389421,3112.61713389421,110561.216877695,113,3,113,3,3
206,25871.8426783784,3143.37795629364,3143.37795629364,22728.4647220847,26,3,26,3,3
207,149846.797457096,3373.85459676773,3373.85459676773,146472.942860328,150,3,150,3,3
208,149846.797457096,2806.63356530722,2806.63356530722,147040.163891788,150,3,150,3,3
209,123974.954778717,7246.7775175899,5400.90122180415,116728.177261127,124,8,124,8,6
210,113673.834011589,107743.114062781,74092.8342401408,5930.71994880754,113,107,113,107,74
211,136561.622378543,2962.24094398847,2962.24094398847,133599.381434555,136,3,136,3,3
212,136561.622378543,87595.4532860144,67705.3869472778,48966.1690925289,136,86,136,86,67
213,136561.622378543,16128.218750719,14009.7635251777,120433.403627824,136,16,136,16,14
214,113673.834011589,97145.190162294,71831.4084930688,16528.6438492948,113,96,113,96,71
215,113673.834011589,95368.3412057163,77025.957508199,18305.4928058725,113,94,113,94,76
216,113673.834011589,108685.006818386,78616.5859486931,4988.82719320239,113,108,113,108,78
217,119656.718912744,2924.1151633411,2924.1151633411,116732.603749403,119,3,119,3,3
218,113673.834011589,106673.300499052,77905.3220319728,7000.53351253687,113,106,113,106,77
219,136561.622378543,3021.81708416444,3021.81708416444,133539.805294379,136,3,136,3,3
220,113673.834011589,91166.9651213691,78293.5425312974,22506.8688902197,113,90,113,90,77
221,123974.954778717,3106.60860850215,3106.60860850215,120868.346170215,124,3,124,3,3
222,117992.069877562,3112.86088047017,3112.86088047017,114879.208997092,118,3,118,3,3
223,123974.954778717,6701.9920375628,5926.8918540508,117272.962741154,124,7,124,7,6
224,139545.676689967,111830.985843314,84417.0148665035,27714.6908466534,139,111,139,111,84
225,113673.834011589,3532.22099260525,3532.22099260525,110141.613018984,113,3,113,3,3
226,119656.718912744,91235.2703958013,69054.2824407979,28421.4485169431,119,90,119,90,68
227,113673.834011589,2931.50838189833,2931.50838189833,110742.325629691,113,3,113,3,3
228,113673.834011589,2900.49076685595,2900.49076685595,110773.343244733,113,3,113,3,3
229,113673.834011589,104725.646647993,76443.5490952935,8948.18736359623,113,104,113,104,76
230,149846.797457096,3094.91006256305,3094.91006256305,146751.887394533,150,3,150,3,3
231,113673.834011589,3294.67635279523,3294.67635279523,110379.157658794,113,3,113,3,3
232,123974.954778717,93642.7641192301,73029.8250216417,30332.1906594872,124,93,124,93,73
233,113673.834011589,2941.09679925855,2941.09679925855,110732.73721233,113,3,113,3,3
234,139545.676689967,88318.2093988013,76282.4489598316,51227.4672911659,139,104,139,88,76
235,146862.743145672,23940.6494760201,17081.2787298517,122922.093669652,147,24,147,24,17
236,149846.797457096,7875.67543013508,5856.54091818203,141971.122026961,150,8,150,8,6
237,113673.834011589,23354.9351879112,18605.4967123734,90318.8988236776,113,24,113,24,19
238,113673.834011589,2994.55501575602,2994.55501575602,110679.278995833,113,3,113,3,3
239,113673.834011589,94881.0055459531,69830.3580356023,18792.8284656357,113,94,113,94,69
240,136561.622378543,3117.64354322199,3117.64354322199,133443.978835321,136,3,136,3,3
241,139545.676689967,3018.55541305642,3018.55541305642,136527.121276911,139,3,139,3,3
242,136561.622378543,95035.8485952027,73972.1090337775,41525.7737833406,136,94,136,94,73
243,136561.622378543,2674.86578194255,2674.86578194255,133886.756596601,136,3,136,3,3
244,113673.834011589,2732.29458098741,2732.29458098741,110941.539430601,113,3,113,3,3
245,149846.797457096,111127.017628111,79186.4799266238,38719.7798289852,150,110,150,110,78
246,113673.834011589,92143.1655617946,72721.7197787883,21530.6684497943,113,91,113,91,72
247,146862.743145672,25291.0964169532,21599.5303951795,121571.646728719,147,25,147,25,21
248,136561.622378543,24879.6781838695,18903.5697236029,111681.944194674,136,25,136,25,19
249,136561.622378543,3142.99280819411,3142.99280819411,133418.629570349,136,3,136,3,3
250,139545.676689967,127003.720105384,104055.836881072,12541.9565845831,139,126,139,126,103
251,136561.622378543,2949.81740245529,2949.81740245529,133611.804976088,136,3,136,3,3
252,36172.9634455068,2877.5052272579,2877.5052272579,33295.4582182489,37,3,37,3,3
253,113673.834011589,2944.52487982154,2944.52487982154,110729.309131767,113,3,113,3,3
254,136561.622378543,101314.545622879,83127.6196356953,35247.0767556641,136,100,136,100,82
255,149846.797457096,7277.36634826386,6330.36678168967,142569.431108832,150,8,150,8,7
256,113673.834011589,2931.71457470749,2931.71457470749,110742.119436881,113,3,113,3,3
257,113673.834011589,3155.1517289682,3155.1517289682,110518.682282621,113,3,113,3,3
258,139545.676689967,24891.6529792459,17764.1067964002,114654.023710721,139,25,139,25,18
259,149846.797457096,7449.36316991741,4977.00359973025,142397.434287178,150,8,150,8,5
260,139545.676689967,27294.0795976334,22139.4010398072,112251.597092334,139,27,139,27,22
261,117992.069877562,2800.06552516376,2800.06552516376,115192.004352398,118,3,118,3,3
262,113673.834011589,95189.7458278733,75094.8850810441,18484.0881837155,113,94,113,94,74
263,113673.834011589,87193.4580396124,68038.280503494,26480.3759719765,113,86,113,86,68
264,123974.954778717,113350.774659802,86361.8592737585,10624.1801189151,124,113,124,113,87
265,146862.743145672,8745.09439345873,5540.74064440194,138117.648752213,147,9,147,9,6
266,113673.834011589,2905.16199604413,2905.16199604413,110768.672015545,113,3,113,3,3
267,113673.834011589,3527.59329815832,3527.59329815832,110146.240713431,113,3,113,3,3
268,113673.834011589,2894.96955174129,2894.96955174129,110778.864459848,113,3,113,3,3
269,149846.797457096,3233.99216394513,3233.99216394513,146612.805293151,150,3,150,3,3
270,123974.954778717,3012.86332383286,3012.86332383286,120962.091454884,124,3,124,3,3
271,136561.622378543,93278.62774555,72961.7305554061,43282.9946329933,136,92,136,92,72
272,113673.834011589,3345.33786327345,3345.33786327345,110328.496148315,113,3,113,3,3
273,139545.676689967,25778.0600908685,18957.017274256,113767.616599099,139,26,139,26,19
274,123974.954778717,86706.7717265794,64668.5345634749,37268.1830521379,124,86,124,86,65
275,149846.797457096,2944.25882029772,2944.25882029772,146902.538636798,150,3,150,3,3
276,113673.834011589,100996.578072112,78720.9412372468,12677.2559394773,113,100,113,100,77
277,113673.834011589,2858.29371608323,2858.29371608323,110815.540295506,113,3,113,3,3
278,139545.676689967,2947.2733594805,2947.2733594805,136598.403330487,139,3,139,3,3
279,149846.797457096,111767.925189037,83196.6604703028,38078.8722680586,150,111,150,111,82
280,113673.834011589,93976.3652604065,74306.3448959542,19697.4687511823,113,93,113,93,74
281,113673.834011589,93637.3099867909,79762.5790899936,20036.5240247979,113,92,113,92,78
282,145528.561591123,6748.37472793911,5834.25795822511,138780.186863184,145,7,145,7,6
283,136561.622378543,3027.34336381973,3027.34336381973,133534.279014724,136,3,136,3,3
284,123974.954778717,3797.32996165194,3797.32996165194,120177.624817065,124,3,124,3,3
285,33188.9091340829,2771.97460368672,2771.97460368672,30416.9345303962,34,3,34,3,3
286,113673.834011589,3312.22669900368,3312.22669900368,110361.607312585,113,3,113,3,3
287,123974.954778717,17460.7337976608,14352.9212859685,106514.220981057,124,18,124,18,15
288,113673.834011589,110659.803493932,85796.0194465968,3014.0305176565,113,110,113,110,85
289,139545.676689967,3532.7146816407,3532.7146816407,136012.962008326,139,3,139,3,3
290,139545.676689967,125876.328603465,102307.376527164,13669.3480865026,139,125,139,125,102
291,139545.676689967,2837.27795366962,2837.27795366962,136708.398736298,139,3,139,3,3
292,116657.888323013,2700.69221381118,2700.69221381118,113957.196109202,116,3,116,3,3
293,136561.622378543,3400.85233581063,3400.85233581063,133160.770042733,136,3,136,3,3
294,149846.797457096,3020.08283007359,3020.08283007359,146826.714627022,150,3,150,3,3
295,119656.718912744,2823.18213323085,2823.18213323085,116833.536779514,119,3,119,3,3
296,113673.834011589,90233.0919666975,73745.1822259017,23440.7420448914,113,89,113,89,72
297,113673.834011589,3017.83412697588,3017.83412697588,110655.999884613,113,3,113,3,3
298,116657.888323013,3359.52604721052,3359.52604721052,113298.362275802,116,3,116,3,3
299,113673.834011589,104836.380128845,84678.4731738426,8837.453882744,113,104,113,104,85
300,123974.954778717,2788.79462723103,2788.79462723103,121186.160151486,124,3,124,3,3
301,113673.834011589,3097.50107019406,3097.50107019406,110576.332941395,113,3,113,3,3
302,136561.622378543,3353.05089665086,3353.05089665086,133208.571481892,136,3,136,3,3
303,139545.676689967,2902.6154167941,2902.6154167941,136643.061273173,139,3,139,3,3
304,139545.676689967,2938.70022476001,2938.70022476001,136606.976465207,139,3,139,3,3
305,113673.834011589,91369.3351730815,73733.9101717423,22304.4988385074,113,90,113,90,73
306,113673.834011589,17967.2370610659,14840.0122056896,95706.5969505229,113,18,113,18,15
307,113673.834011589,2868.05411532635,2868.05411532635,110805.779896262,113,3,113,3,3
308,123974.954778717,2800.2836098575,2800.2836098575,121174.67116886,124,3,124,3,3
309,123974.954778717,2855.48835557278,2855.48835557278,121119.466423145,124,3,124,3,3
310,136561.622378543,2672.74603984738,2672.74603984738,133888.876338696,136,3,136,3,3
311,113673.834011589,111492.072303773,74652.6308320312,2181.76170781569,113,111,113,111,75
312,123974.954778717,3375.61552178397,3375.61552178397,120599.339256933,124,3,124,3,3
313,136561.622378543,100253.523562882,90206.8096275478,36308.0988156613,136,99,136,99,89
314,136561.622378543,103425.715674835,77300.4950510303,33135.906703708,136,102,136,102,76
315,149846.797457096,9554.40825189634,7372.64654408065,140292.389205199,150,10,150,10,8
316,136561.622378543,3141.29372650676,3141.29372650676,133420.328652037,136,3,136,3,3
317,139545.676689967,24733.8488626143,20632.5287661359,114811.827827353,139,25,139,25,21
318,113673.834011589,108851.400275948,78677.9850622243,4822.43373564124,113,108,113,108,79
319,113673.834011589,16698.4937080421,13086.936912467,96975.3403035467,113,17,113,17,13
320,136561.622378543,3169.03272322098,3169.03272322098,133392.589655322,136,3,136,3,3
321,139545.676689967,3053.75574369036,3053.75574369036,136491.920946277,139,3,139,3,3
322,148899.797890521,24755.0294782908,20480.3032447072,124144.768412231,149,25,149,25,20
323,113673.834011589,17698.3923899084,14816.1688589518,95975.4416216804,113,18,113,18,15
324,113673.834011589,89188.9419935167,67182.4690828233,24484.8920180722,113,88,113,88,65
325,113673.834011589,3156.38540295657,3156.38540295657,110517.448608632,113,3,113,3,3
326,116657.888323013,22482.9519887908,17369.561844378,94174.936334222,116,23,116,23,18
327,113673.834011589,20738.5547638065,17454.6400274364,92935.2792477823,113,21,113,21,18
328,113673.834011589,2841.59625590545,2841.59625590545,110832.237755683,113,3,113,3,3
329,123974.954778717,2742.63693465544,2742.63693465544,121232.317844062,124,3,124,3,3
330,136561.622378543,23850.2990833406,17167.6704338171,112711.323295203,136,24,136,24,17
331,149846.797457096,7666.09973869515,6561.08199645611,142180.697718401,150,8,150,8,7
332,139545.676689967,2836.09489471068,2836.09489471068,136709.581795257,139,3,139,3,3
333,136561.622378543,3371.93809190017,3371.93809190017,133189.684286643,136,3,136,3,3
334,136561.622378543,3205.7544484577,3205.7544484577,133355.867930086,136,3,136,3,3
335,113673.834011589,3077.1674931326,3077.1674931326,110596.666518456,113,3,113,3,3
336,113673.834011589,18067.1497085092,15006.4764653871,95606.6843030797,113,18,113,18,15
337,149846.797457096,110354.303371377,82524.5666347412,39492.4940857186,150,109,150,109,81
338,113673.834011589,3066.31299656119,3066.31299656119,110607.521015028,113,3,113,3,3
339,123974.954778717,90504.6485678226,73792.198718038,33470.3062108947,124,89,124,89,72
340,149846.797457096,2564.89388671244,2564.89388671244,147281.903570383,150,3,150,3,3
341,113673.834011589,2803.09567757619,2803.09567757619,110870.738334013,113,3,113,3,3
